TransactionAmount,TransactionType,Channel,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType_original,Channel_original,cluster
189.12,0,1,32,103,1,977.01,Credit,Branch,0
133.55,1,0,44,220,1,3846.28,Debit,ATM,0
143.21,1,2,35,135,1,6374.82,Debit,Online,2
24.77,1,0,62,55,1,5866.01,Debit,ATM,2
233.92,0,2,26,280,1,6537.62,Credit,Online,2
1212.51,1,1,20,24,1,605.95,Debit,Branch,0
232.12,1,0,37,51,1,6689.87,Debit,ATM,2
162.63,1,2,22,113,1,634.17,Debit,Online,0
91.53,1,1,44,69,1,14676.05,Debit,Branch,1
120.29,1,1,19,77,1,1362.39,Debit,Branch,0
174.25,1,2,50,67,1,10528.34,Debit,Online,1
183.71,1,0,38,102,1,552.52,Debit,ATM,0
345.39,0,2,58,80,1,6451.96,Credit,Online,2
922.55,1,0,63,87,1,4715.84,Debit,ATM,2
259.91,1,2,49,170,1,7176.86,Debit,Online,2
154.71,1,2,34,157,1,1523.72,Debit,Online,0
1340.19,0,2,54,30,1,8654.28,Credit,Online,2
24.56,1,1,64,69,1,9869.93,Debit,Branch,1
568.07,1,0,48,115,1,10556.81,Debit,ATM,1
9.61,0,2,58,179,1,12883.91,Credit,Online,1
392.96,1,2,24,100,1,791.65,Debit,Online,0
716.93,0,2,60,34,1,4064.02,Credit,Online,2
223.85,1,0,53,55,4,2929.91,Debit,ATM,0
230.66,1,1,21,135,1,618.05,Debit,Branch,0
442.12,1,2,19,260,1,1375.8,Debit,Online,0
644.17,1,0,29,72,1,1143.52,Debit,ATM,0
508.68,0,1,51,127,1,7708.41,Credit,Branch,2
858.63,0,1,27,185,1,1872.96,Credit,Branch,0
25.36,1,0,57,78,1,201.04,Debit,ATM,0
147.62,1,1,71,133,1,2115.8,Debit,Branch,0
115.02,1,1,37,175,1,7643.66,Debit,Branch,2
383.37,1,1,30,24,1,8901.93,Debit,Branch,2
98.54,0,2,20,167,1,9383.43,Credit,Online,1
83.24,0,1,55,164,1,1181.31,Credit,Branch,0
196.16,1,1,27,146,1,9418.86,Debit,Branch,1
129.94,1,0,32,235,1,7954.92,Debit,ATM,2
306.9,1,2,46,51,1,9418.08,Debit,Online,1
114.98,1,2,59,80,1,6144.68,Debit,Online,2
756.59,1,1,27,17,1,420.65,Debit,Branch,0
503.76,1,2,22,35,1,447.82,Debit,Online,0
143.03,1,0,63,147,1,7981.45,Debit,ATM,2
1045.22,1,0,53,73,1,1829.9,Debit,ATM,0
245.54,1,0,25,180,1,985.06,Debit,ATM,0
254.37,0,2,51,174,1,8849.26,Credit,Online,2
213.76,0,0,78,282,1,3528.72,Credit,ATM,0
327.86,1,2,40,104,1,480.16,Debit,Online,0
2.5,1,2,47,107,1,12145.27,Debit,Online,1
300.08,0,2,68,47,1,13546.75,Credit,Online,1
56.98,0,0,43,122,2,5688.37,Credit,ATM,2
407.65,1,2,26,62,1,8346.64,Debit,Online,2
115.83,1,1,39,167,1,6481.04,Debit,Branch,2
53.57,1,0,69,121,1,1651.33,Debit,ATM,0
63.34,0,2,46,165,1,11174.94,Credit,Online,1
317.87,1,2,27,91,1,145.5,Debit,Online,0
331.65,1,2,41,61,1,4172.57,Debit,Online,2
5.04,1,0,56,41,1,5558.36,Debit,ATM,2
214.54,0,2,70,247,1,11151.53,Credit,Online,1
598.81,1,1,57,158,1,1415.52,Debit,Branch,0
841.28,1,2,26,80,1,1103.64,Debit,Online,0
38.15,1,2,26,108,1,303.68,Debit,Online,0
1036.66,1,1,58,144,1,5541.57,Debit,Branch,2
124.72,1,1,33,105,1,6309.8,Debit,Branch,2
302.45,0,1,78,40,1,5133.61,Credit,Branch,2
208.04,1,2,47,273,1,9344.98,Debit,Online,1
5.77,0,1,23,254,1,1117.97,Credit,Branch,0
381.33,1,0,56,75,1,11835.35,Debit,ATM,1
16.16,1,0,50,124,1,14401.17,Debit,ATM,1
486.08,1,2,18,68,1,1748.69,Debit,Online,0
336.39,1,1,21,18,1,1000.46,Debit,Branch,0
997.43,1,2,69,118,1,6810.05,Debit,Online,2
234.57,1,2,23,120,1,263.98,Debit,Online,0
6.0,1,2,30,246,1,5442.76,Debit,Online,2
1049.92,1,0,80,21,1,2037.85,Debit,ATM,0
227.14,1,0,18,294,1,341.94,Debit,ATM,0
233.74,0,2,66,17,1,1066.59,Credit,Online,0
113.02,0,1,69,166,1,6077.96,Credit,Branch,2
45.85,1,0,20,92,1,1659.15,Debit,ATM,0
973.39,1,1,77,296,1,2042.22,Debit,Branch,0
514.95,1,2,41,142,5,421.93,Debit,Online,0
415.5,1,0,66,141,1,10113.66,Debit,ATM,1
265.76,1,2,54,92,1,4446.17,Debit,Online,2
69.4,1,2,80,113,1,6452.77,Debit,Online,2
332.93,0,1,35,293,1,2788.2,Credit,Branch,0
267.9,1,2,20,160,1,596.16,Debit,Online,0
496.03,1,1,61,265,1,12904.66,Debit,Branch,1
376.26,1,0,37,245,1,9062.4,Debit,ATM,1
83.02,0,2,36,171,1,9009.56,Credit,Online,1
93.26,0,2,20,72,1,1152.2,Credit,Online,0
803.37,0,1,68,129,1,12168.37,Credit,Branch,1
35.76,1,1,23,122,1,611.86,Debit,Branch,0
28.53,1,2,62,99,1,8670.53,Debit,Online,2
139.53,0,2,53,177,1,10098.86,Credit,Online,1
307.57,1,1,33,285,1,5307.74,Debit,Branch,2
60.65,0,1,56,53,1,1047.28,Credit,Branch,0
74.86,1,1,70,125,1,6921.48,Debit,Branch,2
117.97,1,1,51,137,1,1475.46,Debit,Branch,0
231.91,1,0,34,165,1,112.76,Debit,ATM,0
126.21,1,1,75,268,1,5669.66,Debit,Branch,2
506.28,0,2,53,162,2,1309.95,Credit,Online,0
304.35,1,1,31,36,1,4057.1,Debit,Branch,2
281.85,1,0,22,109,1,1585.98,Debit,ATM,0
777.88,1,1,31,17,1,6825.55,Debit,Branch,2
119.18,1,1,56,96,1,5516.5,Debit,Branch,2
177.19,1,2,76,43,1,5343.3,Debit,Online,2
260.88,1,1,22,36,1,903.05,Debit,Branch,0
169.47,1,2,24,19,1,1806.16,Debit,Online,0
73.23,1,1,26,14,1,787.74,Debit,Branch,0
1362.55,1,0,29,106,1,2429.68,Debit,ATM,0
792.57,1,0,19,164,1,770.37,Debit,ATM,0
237.06,1,2,71,46,1,1182.77,Debit,Online,0
34.17,0,2,54,54,1,726.55,Credit,Online,0
740.25,1,2,41,123,1,14464.3,Debit,Online,1
453.54,1,0,58,82,1,12046.3,Debit,ATM,1
300.47,1,1,73,100,1,7885.64,Debit,Branch,2
110.93,0,1,19,201,1,1952.35,Credit,Branch,0
201.69,1,0,59,299,1,7328.52,Debit,ATM,2
399.21,1,0,59,109,1,3210.39,Debit,ATM,0
1041.88,1,2,78,57,1,5726.2,Debit,Online,2
630.36,1,0,62,52,1,1363.65,Debit,ATM,0
10.94,0,0,60,245,1,1241.99,Credit,ATM,0
215.9,1,0,38,235,1,7873.28,Debit,ATM,2
1422.55,1,1,79,165,1,5674.32,Debit,Branch,2
226.37,0,1,49,141,1,9840.04,Credit,Branch,1
444.89,0,1,43,101,1,10328.23,Credit,Branch,1
280.57,0,2,25,24,1,293.24,Credit,Online,0
488.54,1,1,52,132,1,7486.63,Debit,Branch,2
3.3,0,1,50,131,1,11385.37,Credit,Branch,1
199.39,1,1,69,165,1,7264.79,Debit,Branch,2
20.36,1,1,62,75,1,2762.48,Debit,Branch,0
113.64,1,2,62,32,1,6675.03,Debit,Online,2
493.11,1,1,53,236,1,7432.99,Debit,Branch,2
307.41,1,0,19,14,1,1057.0,Debit,ATM,0
11.18,1,2,43,161,1,5956.89,Debit,Online,2
313.82,1,1,59,151,1,7261.59,Debit,Branch,2
51.0,1,1,64,107,1,4943.16,Debit,Branch,2
140.98,1,1,60,100,1,8127.48,Debit,Branch,2
288.04,1,0,68,63,1,1748.02,Debit,ATM,0
800.55,1,0,31,108,1,9660.22,Debit,ATM,1
485.54,1,0,46,143,1,6371.51,Debit,ATM,2
521.15,1,0,54,214,1,9442.47,Debit,ATM,1
321.79,0,0,63,61,1,5959.2,Credit,ATM,2
304.93,1,0,65,158,1,13531.22,Debit,ATM,1
432.08,1,0,40,145,1,11500.62,Debit,ATM,1
694.2,1,0,61,72,1,1389.37,Debit,ATM,0
116.86,1,0,55,171,1,6706.56,Debit,ATM,2
386.81,0,2,57,149,1,7175.29,Credit,Online,2
74.88,1,0,25,202,1,420.67,Debit,ATM,0
195.76,1,1,75,99,1,7323.53,Debit,Branch,2
134.7,1,0,50,106,1,8395.85,Debit,ATM,2
890.24,0,2,33,161,1,5140.93,Credit,Online,2
361.27,1,0,63,180,1,7945.57,Debit,ATM,2
131.56,1,1,44,42,1,5873.54,Debit,Branch,2
485.51,0,2,76,37,1,3074.45,Credit,Online,0
547.87,1,0,64,131,1,6155.76,Debit,ATM,2
457.3,1,2,28,15,1,8318.29,Debit,Online,2
506.24,1,0,58,64,1,230.09,Debit,ATM,0
486.59,1,1,57,119,1,2513.56,Debit,Branch,0
163.68,1,1,41,292,1,10090.05,Debit,Branch,1
581.65,1,0,22,176,1,480.19,Debit,ATM,0
52.01,1,0,48,85,1,1120.88,Debit,ATM,0
630.24,1,0,21,62,1,370.81,Debit,ATM,0
523.74,1,0,43,159,1,13498.55,Debit,ATM,1
705.6,1,1,40,124,3,14804.7,Debit,Branch,1
217.5,0,1,46,35,1,3057.4,Credit,Branch,0
91.48,1,0,51,141,1,14942.78,Debit,ATM,1
5.25,1,0,39,49,1,14143.32,Debit,ATM,1
54.03,0,0,56,161,1,6736.3,Credit,ATM,2
736.73,1,1,48,10,1,3313.07,Debit,Branch,0
368.91,1,1,54,14,1,829.71,Debit,Branch,0
33.06,0,2,53,170,1,1540.87,Credit,Online,0
66.5,0,2,32,144,1,6820.23,Credit,Online,2
177.08,1,2,35,85,1,13475.14,Debit,Online,1
588.54,1,1,32,130,1,714.45,Debit,Branch,0
173.5,1,0,21,282,1,1306.91,Debit,ATM,0
78.33,0,2,56,189,1,7255.33,Credit,Online,2
40.66,1,1,59,156,1,1153.84,Debit,Branch,0
97.22,0,1,77,55,1,6647.73,Credit,Branch,2
34.07,1,1,22,81,1,8709.77,Debit,Branch,2
492.06,1,2,23,74,1,857.9,Debit,Online,0
842.01,0,2,53,185,1,509.45,Credit,Online,0
73.55,1,0,51,158,1,2812.06,Debit,ATM,0
760.53,1,2,57,118,1,6179.91,Debit,Online,2
273.08,0,1,26,134,1,6609.3,Credit,Branch,2
371.69,1,1,67,143,1,3484.32,Debit,Branch,0
218.96,1,0,18,13,1,754.21,Debit,ATM,0
227.39,1,2,18,65,1,751.09,Debit,Online,0
237.99,0,1,39,86,1,8510.09,Credit,Branch,2
186.6,1,2,58,13,1,1508.72,Debit,Online,0
341.15,1,2,18,148,1,511.37,Debit,Online,0
434.58,1,0,59,215,1,12648.32,Debit,ATM,1
312.88,0,1,54,44,1,233.21,Credit,Branch,0
75.15,1,0,23,154,1,1092.92,Debit,ATM,0
23.3,1,0,59,161,1,6711.15,Debit,ATM,2
47.38,0,2,25,61,1,459.37,Credit,Online,0
512.81,1,1,79,30,1,6994.34,Debit,Branch,2
488.15,1,1,43,168,1,7071.09,Debit,Branch,2
12.82,1,0,44,156,1,9045.19,Debit,ATM,1
66.9,0,2,79,129,4,5238.71,Credit,Online,2
535.91,1,2,43,22,1,9642.12,Debit,Online,1
270.72,0,2,26,53,1,6263.96,Credit,Online,2
97.98,1,1,72,18,1,7460.33,Debit,Branch,2
196.08,1,2,61,98,1,4233.82,Debit,Online,2
251.18,1,0,42,246,1,8303.9,Debit,ATM,2
44.52,1,2,28,205,1,314.28,Debit,Online,0
178.87,1,2,35,180,1,5241.23,Debit,Online,2
1176.28,0,0,54,174,5,323.69,Credit,ATM,0
386.68,1,1,46,128,1,6863.06,Debit,Branch,2
167.14,1,2,76,20,1,3877.73,Debit,Online,0
345.22,1,1,69,253,1,4046.58,Debit,Branch,2
74.85,1,0,72,117,1,2409.73,Debit,ATM,0
671.73,1,1,58,54,1,5211.88,Debit,Branch,2
255.04,1,0,45,152,1,6217.86,Debit,ATM,2
45.77,1,2,25,109,1,5978.12,Debit,Online,2
329.69,0,2,26,66,1,1671.66,Credit,Online,0
362.04,0,1,58,198,2,8421.88,Credit,Branch,2
11.92,1,1,53,52,1,14611.9,Debit,Branch,1
47.42,1,0,64,28,1,8253.52,Debit,ATM,2
35.99,1,1,63,129,1,4489.79,Debit,Branch,2
151.19,0,1,37,96,1,11903.82,Credit,Branch,1
242.62,0,2,22,234,1,483.02,Credit,Online,0
48.72,1,1,21,17,1,816.08,Debit,Branch,0
43.46,1,0,25,80,1,578.06,Debit,ATM,0
1036.21,1,2,25,126,1,477.3,Debit,Online,0
443.79,1,0,53,87,1,3133.85,Debit,ATM,0
365.14,1,2,68,57,1,5894.09,Debit,Online,2
757.41,1,0,22,37,1,9532.42,Debit,ATM,1
20.54,1,1,51,72,1,5327.03,Debit,Branch,2
475.36,1,0,34,105,1,2000.6,Debit,ATM,0
34.74,1,0,56,24,1,6827.57,Debit,ATM,2
689.54,1,1,27,93,1,1633.76,Debit,Branch,0
211.18,1,0,73,90,1,4069.17,Debit,ATM,2
211.36,0,1,51,286,1,7943.47,Credit,Branch,2
744.41,0,2,39,107,1,8842.47,Credit,Online,2
61.43,1,2,24,170,1,1882.77,Debit,Online,0
167.44,1,1,37,82,1,12526.71,Debit,Branch,1
361.46,1,2,21,83,1,4737.84,Debit,Online,2
378.85,1,1,78,126,1,2300.53,Debit,Branch,0
241.11,1,1,30,55,1,12385.05,Debit,Branch,1
131.93,0,1,31,13,1,4547.06,Credit,Branch,2
20.28,1,2,36,213,1,2047.83,Debit,Online,0
415.88,1,1,70,170,1,10008.33,Debit,Branch,1
49.99,1,0,62,139,1,2299.64,Debit,ATM,0
1221.65,1,2,27,153,1,243.92,Debit,Online,0
100.66,1,1,50,144,1,14473.33,Debit,Branch,1
485.54,1,2,19,148,1,1533.32,Debit,Online,0
321.15,1,1,46,179,1,7005.05,Debit,Branch,2
711.3,1,1,21,51,1,955.4,Debit,Branch,0
12.23,1,0,42,139,1,7844.88,Debit,ATM,2
350.94,1,0,20,64,1,221.56,Debit,ATM,0
301.85,1,2,54,25,1,6586.19,Debit,Online,2
29.34,1,2,65,30,1,3944.82,Debit,Online,0
231.71,1,1,27,148,1,1127.98,Debit,Branch,0
179.43,1,0,58,244,1,2626.63,Debit,ATM,0
36.71,1,1,48,55,1,6459.38,Debit,Branch,2
138.12,0,1,53,281,1,1649.69,Credit,Branch,0
233.24,1,0,33,72,1,6939.23,Debit,ATM,2
609.14,1,0,39,177,1,9033.87,Debit,ATM,1
436.64,1,1,31,111,1,14365.18,Debit,Branch,1
870.43,1,1,29,55,1,10115.18,Debit,Branch,1
354.4,1,0,74,128,1,7358.65,Debit,ATM,2
22.63,1,2,53,112,1,4438.03,Debit,Online,2
182.19,1,1,26,53,1,1176.1,Debit,Branch,0
126.81,1,1,26,290,1,5427.98,Debit,Branch,2
288.17,1,2,37,50,1,3653.11,Debit,Online,0
118.77,1,1,55,123,1,2104.82,Debit,Branch,0
651.82,1,0,21,166,1,1802.77,Debit,ATM,0
66.65,1,0,37,33,1,3559.96,Debit,ATM,0
98.53,1,1,69,166,1,3564.8,Debit,Branch,0
138.95,1,2,71,30,1,6752.92,Debit,Online,2
33.89,1,1,26,177,1,1444.75,Debit,Branch,0
23.71,1,1,58,164,1,10788.89,Debit,Branch,1
1830.0,1,2,55,238,1,2235.7,Debit,Online,0
26.06,1,0,65,283,1,12893.63,Debit,ATM,1
17.07,1,1,27,44,1,2798.15,Debit,Branch,0
703.89,1,2,46,62,1,3583.67,Debit,Online,0
1271.9,1,0,47,155,1,2120.8,Debit,ATM,0
26.55,1,0,77,228,1,3085.38,Debit,ATM,0
147.4,1,1,42,259,1,6797.71,Debit,Branch,2
202.11,1,0,27,18,1,746.47,Debit,ATM,0
308.42,1,1,75,39,1,5427.81,Debit,Branch,2
11.18,1,0,53,144,1,7467.3,Debit,ATM,2
294.15,1,2,38,136,1,6362.16,Debit,Online,2
29.58,1,1,54,121,1,8345.26,Debit,Branch,2
139.45,1,2,27,31,1,1305.76,Debit,Online,0
432.63,1,0,29,137,1,13648.36,Debit,ATM,1
131.43,1,2,43,65,1,1337.5,Debit,Online,0
516.72,1,0,42,128,1,2015.69,Debit,ATM,0
121.82,1,2,69,123,3,8354.54,Debit,Online,2
374.5,0,1,26,178,1,1671.51,Credit,Branch,0
166.13,1,0,68,227,1,11822.53,Debit,ATM,1
626.9,1,0,23,146,1,587.11,Debit,ATM,0
466.85,1,1,56,165,1,5422.53,Debit,Branch,2
788.84,1,2,58,231,1,1913.73,Debit,Online,0
873.65,0,2,37,59,1,12139.83,Credit,Online,1
525.28,1,0,69,134,1,4693.6,Debit,ATM,2
110.17,1,0,30,137,1,464.2,Debit,ATM,0
632.69,1,0,80,76,1,4363.74,Debit,ATM,2
124.35,1,0,72,90,1,3319.76,Debit,ATM,0
43.85,1,0,62,122,1,4356.98,Debit,ATM,2
283.81,1,1,28,29,1,1519.35,Debit,Branch,0
168.53,1,0,71,112,1,5962.58,Debit,ATM,2
218.59,0,1,40,123,1,6699.23,Credit,Branch,2
132.84,1,0,21,143,1,822.73,Debit,ATM,0
157.37,0,1,42,289,1,13964.31,Credit,Branch,1
144.77,1,2,20,159,1,867.32,Debit,Online,0
643.22,1,0,64,93,1,1035.86,Debit,ATM,0
1392.54,1,1,41,297,1,13347.69,Debit,Branch,1
208.07,1,2,32,36,1,8478.9,Debit,Online,2
94.3,1,1,57,57,1,11088.95,Debit,Branch,1
295.5,1,0,59,36,1,6280.66,Debit,ATM,2
30.23,1,0,44,99,1,481.13,Debit,ATM,0
112.05,0,0,26,159,1,1122.88,Credit,ATM,0
180.24,1,1,58,144,1,8431.23,Debit,Branch,2
13.71,0,2,38,148,1,8342.79,Credit,Online,2
96.54,1,1,58,95,1,7182.22,Debit,Branch,2
79.35,1,2,67,70,1,1692.15,Debit,Online,0
101.04,1,0,27,160,1,1695.57,Debit,ATM,0
74.42,1,2,49,68,1,6264.21,Debit,Online,2
39.66,1,1,52,169,1,8497.34,Debit,Branch,2
99.36,1,0,40,46,1,1272.12,Debit,ATM,0
123.85,1,2,56,244,1,3959.62,Debit,Online,0
426.93,1,0,19,248,1,476.19,Debit,ATM,0
133.73,0,2,25,123,1,1872.22,Credit,Online,0
222.39,1,2,49,73,1,3117.39,Debit,Online,0
215.94,0,2,22,140,1,1841.69,Credit,Online,0
6.3,1,1,80,283,5,7697.68,Debit,Branch,2
826.23,1,0,29,209,1,7580.59,Debit,ATM,2
416.37,1,2,35,67,1,7936.91,Debit,Online,2
131.46,1,1,67,258,1,6642.33,Debit,Branch,2
202.86,0,1,61,149,1,7642.25,Credit,Branch,2
268.39,1,0,26,171,1,136.74,Debit,ATM,0
194.85,1,2,23,130,4,319.84,Debit,Online,0
137.35,0,2,40,220,1,12662.66,Credit,Online,1
712.75,1,1,44,25,1,8126.06,Debit,Branch,2
353.82,1,0,42,143,1,705.75,Debit,ATM,0
507.25,1,1,73,143,1,5331.57,Debit,Branch,2
212.74,1,1,27,128,1,7645.47,Debit,Branch,2
364.42,1,0,51,146,1,8119.73,Debit,ATM,2
195.12,1,0,46,144,1,6101.15,Debit,ATM,2
230.61,1,1,80,204,1,2561.42,Debit,Branch,0
739.28,0,1,58,47,1,11905.64,Credit,Branch,1
390.35,0,0,64,61,1,7095.88,Credit,ATM,2
242.03,1,2,58,124,1,4382.73,Debit,Online,2
242.39,0,0,18,271,1,1328.73,Credit,ATM,0
135.03,1,0,23,180,1,1278.0,Debit,ATM,0
83.5,1,1,61,91,5,1749.79,Debit,Branch,0
193.54,1,1,80,267,1,2929.51,Debit,Branch,0
617.36,1,1,29,61,1,8926.38,Debit,Branch,2
775.23,0,2,59,38,1,5977.59,Credit,Online,2
266.57,1,0,72,100,1,7676.92,Debit,ATM,2
153.4,1,0,45,144,1,4657.7,Debit,ATM,2
946.94,1,1,53,251,1,5579.11,Debit,Branch,2
5.12,1,1,34,90,1,3293.01,Debit,Branch,0
119.11,1,0,57,131,1,7998.25,Debit,ATM,2
1096.7,1,2,24,147,1,1093.89,Debit,Online,0
119.72,1,1,30,123,1,3435.34,Debit,Branch,0
107.4,1,2,58,32,1,344.07,Debit,Online,0
115.92,1,0,53,57,1,3897.17,Debit,ATM,0
438.04,1,0,67,247,1,5358.95,Debit,ATM,2
677.29,1,2,27,287,1,627.79,Debit,Online,0
296.0,1,1,35,248,1,7418.82,Debit,Branch,2
299.09,0,1,36,84,1,5615.26,Credit,Branch,2
461.52,0,1,24,44,1,1995.18,Credit,Branch,0
100.52,1,0,50,110,1,453.39,Debit,ATM,0
85.35,1,0,66,166,1,2173.76,Debit,ATM,0
79.76,1,1,39,170,1,6452.14,Debit,Branch,2
778.49,0,2,75,107,1,7713.67,Credit,Online,2
386.38,1,2,42,135,1,5528.36,Debit,Online,2
165.25,1,2,35,106,1,9939.94,Debit,Online,1
14.29,1,0,34,150,1,7016.99,Debit,ATM,2
232.79,0,1,55,145,1,2661.3,Credit,Branch,0
1237.56,0,1,60,159,1,9410.17,Credit,Branch,1
92.29,1,1,54,115,1,2026.32,Debit,Branch,0
293.97,1,1,68,153,1,7371.85,Debit,Branch,2
136.32,1,2,19,113,1,264.83,Debit,Online,0
251.06,1,2,36,34,1,10001.66,Debit,Online,1
50.17,0,0,77,35,1,7752.14,Credit,ATM,2
21.4,1,1,34,258,1,9594.11,Debit,Branch,1
73.28,1,1,21,21,1,1329.41,Debit,Branch,0
70.23,1,0,38,260,1,11624.93,Debit,ATM,1
689.29,1,0,22,100,1,168.84,Debit,ATM,0
745.03,1,2,28,231,1,160.57,Debit,Online,0
54.61,1,0,58,160,1,7135.64,Debit,ATM,2
54.05,1,1,27,146,1,469.14,Debit,Branch,0
107.47,1,2,67,144,1,7517.5,Debit,Online,2
611.11,1,0,20,282,4,919.84,Debit,ATM,0
219.63,1,0,48,44,1,8013.63,Debit,ATM,2
188.7,1,1,54,123,1,5077.06,Debit,Branch,2
93.52,1,2,51,97,1,2791.2,Debit,Online,0
275.92,0,1,62,107,1,1777.38,Credit,Branch,0
376.79,1,1,68,265,1,7749.14,Debit,Branch,2
8.98,1,2,66,56,1,4516.76,Debit,Online,2
697.32,1,2,68,91,1,2016.02,Debit,Online,0
17.45,1,0,18,88,1,1959.52,Debit,ATM,0
302.16,1,2,80,138,5,3876.61,Debit,Online,0
442.74,1,1,23,136,1,1790.27,Debit,Branch,0
623.9,1,0,27,249,1,711.47,Debit,ATM,0
445.41,1,0,35,235,3,12154.66,Debit,ATM,1
63.41,1,0,26,36,1,1546.22,Debit,ATM,0
346.85,1,0,44,88,1,7208.15,Debit,ATM,2
71.95,0,2,59,53,1,9267.32,Credit,Online,1
7.5,1,2,63,36,1,6485.78,Debit,Online,2
206.46,1,0,65,279,1,3984.38,Debit,ATM,0
423.11,1,0,60,47,1,412.78,Debit,ATM,0
35.84,0,2,54,172,1,4795.65,Credit,Online,2
88.6,0,1,28,105,1,246.57,Credit,Branch,0
1431.3,1,0,18,168,1,1058.13,Debit,ATM,0
53.81,0,0,55,37,2,2564.62,Credit,ATM,0
22.46,1,2,54,78,1,6631.5,Debit,Online,2
334.89,1,2,21,260,1,1661.68,Debit,Online,0
319.27,0,2,54,59,1,5504.01,Credit,Online,2
144.3,1,0,18,88,1,312.19,Debit,ATM,0
348.7,0,1,69,149,1,2445.58,Credit,Branch,0
366.21,1,0,62,181,1,10862.99,Debit,ATM,1
99.11,1,2,55,12,1,5414.87,Debit,Online,2
539.35,1,0,55,127,1,3919.44,Debit,ATM,0
